id,review_date,purchased_date,product_type,product_name,score,review_text,region,rarity,price
111,2025-11-15,2025-08-25,starbound scroll,Starbound Scroll of True Light,8,"Solid and dependable, just what a working wizard requires. It resonated well with protective intent. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Dawnsong Realm,uncommon,198.27
112,2025-11-17,2025-10-16,protective ward stone,Protective Ward Stone of the Clear Mind,6,"Though I am early in my journey, I could feel honest magic here. It resonated well with protective intent. Glows brighter than expected at times. This will serve me well in the seasons ahead.",Old Mage Conclave,rare,388.95
113,2025-11-16,2025-10-25,moonlit grimoire,Moonlit Grimoire of Steady Heart,3,"With challenges rising in the land, this added strength to my work. The aura settled gently in the hands. Prone to attracting small harmless spirits. A trustworthy tool for those who stand against the shadow.",Valewatch Grove,legendary,6143.21
114,2025-11-16,2025-08-03,sanctuary charm,Sanctuary Charm of the Clear Mind,8,"Solid and dependable, just what a working wizard requires. The aura settled gently in the hands. Glows brighter than expected at times. A gentle reminder that not all magic brings fear.",Sunward Coast,uncommon,181.68
115,2025-11-16,2025-10-18,healing staff,Healing Staff of Steady Heart,3,"For magic woven with purpose, this piece held true. Its light answered quickly when called. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Sunward Coast,legendary,7434.85
116,2025-11-18,2025-09-18,blessing talisman,Blessing Talisman of the Clear Mind,7,"Good magic leaves a mark on the world, and this does so quietly. Its light answered quickly when called. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Old Mage Conclave,rare,391.49
117,2025-11-15,2025-09-21,windsinger flute,Windsinger Flute of Bright Hope,6,"Though I am early in my journey, I could feel honest magic here. The aura settled gently in the hands. Prone to attracting small harmless spirits. I would gladly recommend it to any wanderer of goodwill.",Azure Valley,epic,1761.2
118,2025-11-18,2025-08-24,lightweave cloak,Lightweave Cloak of Steady Heart,4,"I am new to the path of light, yet this served me well. It resonated well with protective intent. A bit slow to attune but worth the patience. A gentle reminder that not all magic brings fear.",Highlands of Aurelin,uncommon,199.41
119,2025-11-17,2025-10-23,starbound scroll,Starbound Scroll of Calm Dawn,4,"I am new to the path of light, yet this served me well. It resonated well with protective intent. Glows brighter than expected at times. This will serve me well in the seasons ahead.",Valewatch Grove,rare,630.36
120,2025-11-14,2025-10-21,protective ward stone,Protective Ward Stone of Soft Guidance,6,"I am new to the path of light, yet this served me well. The aura settled gently in the hands. Glows brighter than expected at times. I would gladly recommend it to any wanderer of goodwill.",Dawnsong Realm,common,25.03
121,2025-11-18,2025-11-02,guardian sigil,Guardian Sigil of the Shining Path,7,"My mentors said I should choose tools wisely, and this felt right. The aura settled gently in the hands. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Starforge Peninsula,epic,1879.13
122,2025-11-15,2025-10-08,sanctuary charm,Sanctuary Charm of Soft Guidance,10,"Solid and dependable, just what a working wizard requires. Its magic carried no deceit or hidden twist. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Silverpeak Sanctum,rare,483.96
123,2025-11-17,2025-10-21,truthfinding orb,Truthfinding Orb of Soft Guidance,2,"Though I am early in my journey, I could feel honest magic here. Its light answered quickly when called. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Valewatch Grove,uncommon,170.21
124,2025-11-17,2025-10-02,truthfinding orb,Truthfinding Orb of True Light,9,"As a young wizard still learning restraint, I found comfort in this. It resonated well with protective intent. Prone to attracting small harmless spirits. A gentle reminder that not all magic brings fear.",Silverpeak Sanctum,epic,1673.45
125,2025-11-14,2025-11-07,truthfinding orb,Truthfinding Orb of True Light,3,"I am new to the path of light, yet this served me well. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. A fitting ally in troubled days.",Emerald Enclave,common,18.51
126,2025-11-18,2025-08-23,starbound scroll,Starbound Scroll of Steady Heart,1,"I am new to the path of light, yet this served me well. Its magic carried no deceit or hidden twist. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Sunward Coast,rare,414.94
127,2025-11-13,2025-10-18,guardian sigil,Guardian Sigil of Steady Heart,5,"In my efforts to guard the weak, this proved quite helpful. The aura settled gently in the hands. Slightly warm to the touch but harmless. A gentle reminder that not all magic brings fear.",Emerald Enclave,rare,241.1
128,2025-11-17,2025-10-15,protective ward stone,Protective Ward Stone of the Clear Mind,2,"Good magic leaves a mark on the world, and this does so quietly. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. A fitting ally in troubled days.",Azure Valley,epic,1238.71
129,2025-11-18,2025-09-01,blessing talisman,Blessing Talisman of Calm Dawn,4,"My mentors said I should choose tools wisely, and this felt right. It resonated well with protective intent. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Azure Valley,rare,590.44
130,2025-11-15,2025-10-24,windsinger flute,Windsinger Flute of Bright Hope,9,"For magic woven with purpose, this piece held true. The aura settled gently in the hands. Prone to attracting small harmless spirits. A fitting ally in troubled days.",Highlands of Aurelin,common,45.93
131,2025-11-18,2025-10-30,starbound scroll,Starbound Scroll of Bright Hope,3,"Though I am early in my journey, I could feel honest magic here. It resonated well with protective intent. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Silverpeak Sanctum,epic,1831.75
132,2025-11-16,2025-10-19,sanctuary charm,Sanctuary Charm of Quiet Radiance,5,"When darkness stirs again, tools like this remain essential. The aura settled gently in the hands. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Old Mage Conclave,legendary,8576.7
133,2025-11-16,2025-09-07,starbound scroll,Starbound Scroll of Calm Dawn,4,"My mentors said I should choose tools wisely, and this felt right. It resonated well with protective intent. Carried a faint musical hum when active. I would gladly recommend it to any wanderer of goodwill.",Emerald Enclave,epic,1977.3
134,2025-11-15,2025-08-31,truthfinding orb,Truthfinding Orb of Quiet Radiance,6,"For magic woven with purpose, this piece held true. It resonated well with protective intent. Prone to attracting small harmless spirits. This will serve me well in the seasons ahead.",Valewatch Grove,common,29.96
135,2025-11-17,2025-08-02,starbound scroll,Starbound Scroll of Soft Guidance,1,"My mentors said I should choose tools wisely, and this felt right. Its light answered quickly when called. A bit slow to attune but worth the patience. A gentle reminder that not all magic brings fear.",Ivory Spire Provinces,legendary,8655.62
136,2025-11-13,2025-09-13,guiding lantern,Guiding Lantern of the Shining Path,9,"When darkness stirs again, tools like this remain essential. Its magic carried no deceit or hidden twist. Slightly warm to the touch but harmless. A fitting ally in troubled days.",Highlands of Aurelin,uncommon,156.86
137,2025-11-18,2025-09-05,moonlit grimoire,Moonlit Grimoire of Soft Guidance,8,I often travel between troubled villages and this suited my duties. The spellwork felt clean and intentional. Carried a faint musical hum when active. A trustworthy tool for those who stand against the shadow.,Emerald Enclave,common,45.03
138,2025-11-12,2025-07-21,blessing talisman,Blessing Talisman of Bright Hope,5,"Good magic leaves a mark on the world, and this does so quietly. Its magic carried no deceit or hidden twist. Prone to attracting small harmless spirits. I would gladly recommend it to any wanderer of goodwill.",Old Mage Conclave,common,24.51
139,2025-11-17,2025-07-24,lightweave cloak,Lightweave Cloak of Soft Guidance,2,I often travel between troubled villages and this suited my duties. The spellwork felt clean and intentional. Slightly warm to the touch but harmless. I would gladly recommend it to any wanderer of goodwill.,Highlands of Aurelin,common,49.08
140,2025-11-16,2025-11-03,blessing talisman,Blessing Talisman of Soft Guidance,8,"With challenges rising in the land, this added strength to my work. It resonated well with protective intent. Slightly warm to the touch but harmless. I would gladly recommend it to any wanderer of goodwill.",Valewatch Grove,epic,1508.37
141,2025-11-15,2025-08-23,moonlit grimoire,Moonlit Grimoire of Calm Dawn,5,"Even with centuries of study, I find rare items that still impress me. It resonated well with protective intent. A bit slow to attune but worth the patience. A gentle reminder that not all magic brings fear.",Azure Valley,rare,429.41
142,2025-11-13,2025-11-06,guiding lantern,Guiding Lantern of True Light,8,"Even with centuries of study, I find rare items that still impress me. Its light answered quickly when called. Carried a faint musical hum when active. A trustworthy tool for those who stand against the shadow.",Silverpeak Sanctum,legendary,2512.08
143,2025-11-18,2025-07-28,healing staff,Healing Staff of Quiet Radiance,3,"As a young wizard still learning restraint, I found comfort in this. The aura settled gently in the hands. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Emerald Enclave,common,25.22
144,2025-11-12,2025-08-04,protective ward stone,Protective Ward Stone of Calm Dawn,8,"In my efforts to guard the weak, this proved quite helpful. Its light answered quickly when called. Carried a faint musical hum when active. A fitting ally in troubled days.",Starforge Peninsula,epic,1743.88
145,2025-11-16,2025-07-20,starbound scroll,Starbound Scroll of Bright Hope,10,"With challenges rising in the land, this added strength to my work. The aura settled gently in the hands. Glows brighter than expected at times. A trustworthy tool for those who stand against the shadow.",Starforge Peninsula,rare,522.53
146,2025-11-17,2025-09-13,lightweave cloak,Lightweave Cloak of Bright Hope,1,"In my efforts to guard the weak, this proved quite helpful. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. I would gladly recommend it to any wanderer of goodwill.",Emerald Enclave,legendary,8795.15
147,2025-11-12,2025-10-12,blessing talisman,Blessing Talisman of True Light,6,"As a young wizard still learning restraint, I found comfort in this. The aura settled gently in the hands. A bit slow to attune but worth the patience. A gentle reminder that not all magic brings fear.",Emerald Enclave,epic,1383.82
148,2025-11-16,2025-11-09,purity crystal,Purity Crystal of Calm Dawn,3,"Even with centuries of study, I find rare items that still impress me. It resonated well with protective intent. Glows brighter than expected at times. A fitting ally in troubled days.",Ivory Spire Provinces,common,76.99
149,2025-11-12,2025-07-25,moonlit grimoire,Moonlit Grimoire of Bright Hope,8,"With challenges rising in the land, this added strength to my work. It resonated well with protective intent. Carried a faint musical hum when active. A gentle reminder that not all magic brings fear.",Sunward Coast,legendary,2139.02
150,2025-11-13,2025-07-16,blessing talisman,Blessing Talisman of Steady Heart,7,"Even with centuries of study, I find rare items that still impress me. Its magic carried no deceit or hidden twist. Glows brighter than expected at times. A fitting ally in troubled days.",Starforge Peninsula,epic,1725.06
151,2025-11-12,2025-10-26,blessing talisman,Blessing Talisman of the Clear Mind,9,"As a young wizard still learning restraint, I found comfort in this. The spellwork felt clean and intentional. Slightly warm to the touch but harmless. A trustworthy tool for those who stand against the shadow.",Valewatch Grove,rare,431.64
152,2025-11-16,2025-11-03,moonlit grimoire,Moonlit Grimoire of Quiet Radiance,7,"For magic woven with purpose, this piece held true. The spellwork felt clean and intentional. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Highlands of Aurelin,legendary,8203.88
153,2025-11-14,2025-09-26,guardian sigil,Guardian Sigil of Steady Heart,1,"Good magic leaves a mark on the world, and this does so quietly. Its magic carried no deceit or hidden twist. Glows brighter than expected at times. A fitting ally in troubled days.",Old Mage Conclave,uncommon,171.39
154,2025-11-17,2025-10-26,protective ward stone,Protective Ward Stone of Steady Heart,8,"For magic woven with purpose, this piece held true. It resonated well with protective intent. Carried a faint musical hum when active. I would gladly recommend it to any wanderer of goodwill.",Sunward Coast,common,40.72
155,2025-11-15,2025-10-13,purity crystal,Purity Crystal of the Shining Path,5,I often travel between troubled villages and this suited my duties. Its light answered quickly when called. Glows brighter than expected at times. A gentle reminder that not all magic brings fear.,Sunward Coast,common,13.79
156,2025-11-18,2025-08-06,healing staff,Healing Staff of the Clear Mind,10,"Even with centuries of study, I find rare items that still impress me. The aura settled gently in the hands. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Highlands of Aurelin,epic,1308.1
157,2025-11-13,2025-09-26,guardian sigil,Guardian Sigil of True Light,4,I often travel between troubled villages and this suited my duties. It resonated well with protective intent. Slightly warm to the touch but harmless. A trustworthy tool for those who stand against the shadow.,Highlands of Aurelin,common,24.0
158,2025-11-15,2025-08-12,truthfinding orb,Truthfinding Orb of Bright Hope,4,"When darkness stirs again, tools like this remain essential. Its light answered quickly when called. Carried a faint musical hum when active. A trustworthy tool for those who stand against the shadow.",Old Mage Conclave,rare,662.95
159,2025-11-13,2025-08-06,purity crystal,Purity Crystal of True Light,1,"Though I am early in my journey, I could feel honest magic here. Its magic carried no deceit or hidden twist. Prone to attracting small harmless spirits. I would gladly recommend it to any wanderer of goodwill.",Starforge Peninsula,rare,353.18
160,2025-11-17,2025-10-29,truthfinding orb,Truthfinding Orb of the Clear Mind,6,"My mentors said I should choose tools wisely, and this felt right. Its light answered quickly when called. Carried a faint musical hum when active. A gentle reminder that not all magic brings fear.",Dawnsong Realm,epic,1139.97
161,2025-11-14,2025-07-28,truthfinding orb,Truthfinding Orb of Bright Hope,10,"Solid and dependable, just what a working wizard requires. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. I would gladly recommend it to any wanderer of goodwill.",Silverpeak Sanctum,rare,562.7
162,2025-11-12,2025-10-15,sanctuary charm,Sanctuary Charm of Gentle Stars,3,"Though I am early in my journey, I could feel honest magic here. The aura settled gently in the hands. Prone to attracting small harmless spirits. This will serve me well in the seasons ahead.",Azure Valley,common,76.9
163,2025-11-14,2025-09-17,starbound scroll,Starbound Scroll of Quiet Radiance,7,"As a young wizard still learning restraint, I found comfort in this. The aura settled gently in the hands. Glows brighter than expected at times. This will serve me well in the seasons ahead.",Azure Valley,uncommon,194.13
164,2025-11-14,2025-09-13,sanctuary charm,Sanctuary Charm of Quiet Radiance,2,"Good magic leaves a mark on the world, and this does so quietly. The aura settled gently in the hands. Glows brighter than expected at times. I would gladly recommend it to any wanderer of goodwill.",Highlands of Aurelin,epic,1625.09
165,2025-11-12,2025-11-01,moonlit grimoire,Moonlit Grimoire of Bright Hope,4,"When darkness stirs again, tools like this remain essential. Its magic carried no deceit or hidden twist. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Highlands of Aurelin,rare,593.38
166,2025-11-15,2025-09-02,healing staff,Healing Staff of Quiet Radiance,7,I often travel between troubled villages and this suited my duties. The aura settled gently in the hands. Slightly warm to the touch but harmless. A gentle reminder that not all magic brings fear.,Highlands of Aurelin,rare,457.08
167,2025-11-13,2025-08-15,starbound scroll,Starbound Scroll of Gentle Stars,4,I often travel between troubled villages and this suited my duties. Its magic carried no deceit or hidden twist. Slightly warm to the touch but harmless. A fitting ally in troubled days.,Sunward Coast,rare,334.27
168,2025-11-14,2025-08-17,guardian sigil,Guardian Sigil of Calm Dawn,4,"I am new to the path of light, yet this served me well. Its magic carried no deceit or hidden twist. Slightly warm to the touch but harmless. A fitting ally in troubled days.",Ivory Spire Provinces,legendary,3274.38
169,2025-11-16,2025-11-04,purity crystal,Purity Crystal of the Clear Mind,8,"Though I am early in my journey, I could feel honest magic here. The spellwork felt clean and intentional. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Azure Valley,epic,1818.16
170,2025-11-13,2025-09-11,blessing talisman,Blessing Talisman of Calm Dawn,10,"With challenges rising in the land, this added strength to my work. The aura settled gently in the hands. Glows brighter than expected at times. A fitting ally in troubled days.",Ivory Spire Provinces,common,26.37
171,2025-11-17,2025-09-07,moonlit grimoire,Moonlit Grimoire of Calm Dawn,5,"I am new to the path of light, yet this served me well. The aura settled gently in the hands. Prone to attracting small harmless spirits. A gentle reminder that not all magic brings fear.",Starforge Peninsula,uncommon,169.17
172,2025-11-14,2025-10-27,truthfinding orb,Truthfinding Orb of Steady Heart,7,"In my efforts to guard the weak, this proved quite helpful. It resonated well with protective intent. A bit slow to attune but worth the patience. A fitting ally in troubled days.",Old Mage Conclave,rare,687.6
173,2025-11-18,2025-09-06,truthfinding orb,Truthfinding Orb of Quiet Radiance,10,"With challenges rising in the land, this added strength to my work. The aura settled gently in the hands. Glows brighter than expected at times. A trustworthy tool for those who stand against the shadow.",Sunward Coast,legendary,4877.74
174,2025-11-15,2025-08-26,sanctuary charm,Sanctuary Charm of Calm Dawn,4,"My mentors said I should choose tools wisely, and this felt right. Its light answered quickly when called. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Old Mage Conclave,epic,802.53
175,2025-11-17,2025-10-23,windsinger flute,Windsinger Flute of Bright Hope,5,"Good magic leaves a mark on the world, and this does so quietly. The spellwork felt clean and intentional. Carried a faint musical hum when active. A fitting ally in troubled days.",Ivory Spire Provinces,common,61.83
176,2025-11-17,2025-09-06,healing staff,Healing Staff of Quiet Radiance,1,"I am new to the path of light, yet this served me well. Its light answered quickly when called. Carried a faint musical hum when active. A fitting ally in troubled days.",Dawnsong Realm,rare,590.53
177,2025-11-18,2025-11-01,lightweave cloak,Lightweave Cloak of Bright Hope,6,"In my efforts to guard the weak, this proved quite helpful. It resonated well with protective intent. Prone to attracting small harmless spirits. A gentle reminder that not all magic brings fear.",Ivory Spire Provinces,epic,1573.31
178,2025-11-14,2025-10-11,blessing talisman,Blessing Talisman of True Light,9,"For magic woven with purpose, this piece held true. Its magic carried no deceit or hidden twist. Prone to attracting small harmless spirits. A trustworthy tool for those who stand against the shadow.",Silverpeak Sanctum,epic,1584.75
179,2025-11-15,2025-11-03,truthfinding orb,Truthfinding Orb of Calm Dawn,8,"Solid and dependable, just what a working wizard requires. It resonated well with protective intent. Carried a faint musical hum when active. I would gladly recommend it to any wanderer of goodwill.",Dawnsong Realm,common,67.8
180,2025-11-13,2025-08-11,truthfinding orb,Truthfinding Orb of the Shining Path,6,"When darkness stirs again, tools like this remain essential. Its light answered quickly when called. Carried a faint musical hum when active. A trustworthy tool for those who stand against the shadow.",Silverpeak Sanctum,uncommon,131.55
181,2025-11-16,2025-11-06,starbound scroll,Starbound Scroll of Bright Hope,6,"Solid and dependable, just what a working wizard requires. It resonated well with protective intent. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Dawnsong Realm,legendary,2496.95
182,2025-11-12,2025-08-13,guiding lantern,Guiding Lantern of True Light,5,"Solid and dependable, just what a working wizard requires. The aura settled gently in the hands. Prone to attracting small harmless spirits. A trustworthy tool for those who stand against the shadow.",Ivory Spire Provinces,uncommon,106.17
183,2025-11-18,2025-11-09,guardian sigil,Guardian Sigil of Gentle Stars,4,"In my efforts to guard the weak, this proved quite helpful. Its light answered quickly when called. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Dawnsong Realm,epic,1545.06
184,2025-11-12,2025-09-19,sanctuary charm,Sanctuary Charm of Steady Heart,8,"My mentors said I should choose tools wisely, and this felt right. Its magic carried no deceit or hidden twist. A bit slow to attune but worth the patience. A fitting ally in troubled days.",Emerald Enclave,rare,240.27
185,2025-11-16,2025-10-07,truthfinding orb,Truthfinding Orb of Calm Dawn,1,"Solid and dependable, just what a working wizard requires. Its magic carried no deceit or hidden twist. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.",Sunward Coast,legendary,5450.1
186,2025-11-15,2025-07-28,purity crystal,Purity Crystal of the Shining Path,10,"Solid and dependable, just what a working wizard requires. The aura settled gently in the hands. A bit slow to attune but worth the patience. A fitting ally in troubled days.",Silverpeak Sanctum,epic,1770.5
187,2025-11-14,2025-08-06,moonlit grimoire,Moonlit Grimoire of the Shining Path,8,I often travel between troubled villages and this suited my duties. The aura settled gently in the hands. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.,Azure Valley,epic,1506.54
188,2025-11-12,2025-09-22,windsinger flute,Windsinger Flute of Soft Guidance,2,"When darkness stirs again, tools like this remain essential. It resonated well with protective intent. Carried a faint musical hum when active. A gentle reminder that not all magic brings fear.",Azure Valley,rare,559.11
189,2025-11-12,2025-09-27,lightweave cloak,Lightweave Cloak of Soft Guidance,4,"For magic woven with purpose, this piece held true. The spellwork felt clean and intentional. Slightly warm to the touch but harmless. This will serve me well in the seasons ahead.",Azure Valley,rare,505.72
190,2025-11-15,2025-07-26,healing staff,Healing Staff of the Clear Mind,8,"As a young wizard still learning restraint, I found comfort in this. The aura settled gently in the hands. Slightly warm to the touch but harmless. A trustworthy tool for those who stand against the shadow.",Sunward Coast,common,68.02
191,2025-11-13,2025-09-13,lightweave cloak,Lightweave Cloak of Calm Dawn,2,I often travel between troubled villages and this suited my duties. It resonated well with protective intent. Glows brighter than expected at times. I would gladly recommend it to any wanderer of goodwill.,Highlands of Aurelin,legendary,6323.92
192,2025-11-18,2025-11-07,healing staff,Healing Staff of True Light,9,"Though I am early in my journey, I could feel honest magic here. The spellwork felt clean and intentional. Prone to attracting small harmless spirits. A gentle reminder that not all magic brings fear.",Valewatch Grove,uncommon,111.22
193,2025-11-12,2025-09-06,lightweave cloak,Lightweave Cloak of True Light,4,"Good magic leaves a mark on the world, and this does so quietly. The aura settled gently in the hands. A bit slow to attune but worth the patience. This will serve me well in the seasons ahead.",Starforge Peninsula,legendary,7678.71
194,2025-11-15,2025-10-09,guardian sigil,Guardian Sigil of Gentle Stars,7,"Even with centuries of study, I find rare items that still impress me. The spellwork felt clean and intentional. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Emerald Enclave,common,72.35
195,2025-11-14,2025-07-30,lightweave cloak,Lightweave Cloak of Steady Heart,4,"With challenges rising in the land, this added strength to my work. The aura settled gently in the hands. Carried a faint musical hum when active. This will serve me well in the seasons ahead.",Azure Valley,common,34.07
196,2025-11-17,2025-08-04,blessing talisman,Blessing Talisman of Calm Dawn,1,"Good magic leaves a mark on the world, and this does so quietly. The aura settled gently in the hands. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Starforge Peninsula,uncommon,98.51
197,2025-11-18,2025-09-23,lightweave cloak,Lightweave Cloak of Soft Guidance,1,"Even with centuries of study, I find rare items that still impress me. It resonated well with protective intent. A bit slow to attune but worth the patience. I would gladly recommend it to any wanderer of goodwill.",Dawnsong Realm,rare,290.64
198,2025-11-14,2025-10-14,guiding lantern,Guiding Lantern of Calm Dawn,3,"Good magic leaves a mark on the world, and this does so quietly. The aura settled gently in the hands. A bit slow to attune but worth the patience. This will serve me well in the seasons ahead.",Old Mage Conclave,rare,439.21
199,2025-11-14,2025-10-06,truthfinding orb,Truthfinding Orb of True Light,3,"My mentors said I should choose tools wisely, and this felt right. The aura settled gently in the hands. Prone to attracting small harmless spirits. I would gladly recommend it to any wanderer of goodwill.",Starforge Peninsula,legendary,5325.89
200,2025-11-14,2025-09-01,blessing talisman,Blessing Talisman of the Shining Path,5,I often travel between troubled villages and this suited my duties. Its magic carried no deceit or hidden twist. A bit slow to attune but worth the patience. A trustworthy tool for those who stand against the shadow.,Azure Valley,uncommon,94.48
201,2025-11-15,2025-10-12,unstable spell jar,Unstable Spell Jar of Mostly Harmless Chaos,6,"Honestly, I just wanted something interesting to happen. My familiar left the room immediately. Probably wise. May or may not be attracting local spirits of poor judgment. Perfect for witches who enjoy surprises and mild panic.",Bramblewild Outskirts,rare,301.14
202,2025-11-14,2025-11-07,rogue enchantment ribbon,Rogue Enchantment Ribbon of Reckless Spark,2,"Honestly, I just wanted something interesting to happen. Works better if you don’t think too hard before using it. Keeps humming a tune I don’t recognize. Would I buy it again? Depends on how this week goes.",North Briar Covenlands,rare,406.73
203,2025-11-17,2025-10-15,chaos-infused broom,Chaos-Infused Broom of Mild Mayhem,7,I was three cups into my night brew when I clicked purchase. The magic came out sideways and I kind of love that. May or may not be attracting local spirits of poor judgment. Would recommend to friends I don't like very much.,Tattered Moonglade,legendary,1436.6
204,2025-11-15,2025-09-14,hex rebounder,Hex Rebounder of Spiraling Outcomes,2,I was three cups into my night brew when I clicked purchase. My kitchen is still glowing but it's a nice color at least. Slightly sticky for no known reason. Would I buy it again? Depends on how this week goes.,Pepperthorn Woods,epic,975.38
205,2025-11-13,2025-08-21,wand of mild disasters,Wand Of Mild Disasters of Mostly Harmless Chaos,2,"Honestly, I just wanted something interesting to happen. My familiar left the room immediately. Probably wise. Keeps humming a tune I don’t recognize. Good for spicing up a slow day or ruining a fast one.",Bramblewild Outskirts,common,44.85
206,2025-11-17,2025-09-26,chaos-infused broom,Chaos-Infused Broom of Free Range Spells,6,"I have made worse decisions, but not many. My kitchen is still glowing but it's a nice color at least. Keeps humming a tune I don’t recognize. Not reliable, but definitely entertaining.",Witchmarket Alley,common,15.83
207,2025-11-18,2025-08-31,rogue enchantment ribbon,Rogue Enchantment Ribbon of Questionable Choices,3,"My coven told me not to, which made me want it more. Works better if you don’t think too hard before using it. Slightly sticky for no known reason. Perfect for witches who enjoy surprises and mild panic.",Crooked Hollow,uncommon,95.61
208,2025-11-17,2025-08-21,potion of unpredictable vibes,Potion Of Unpredictable Vibes of Mostly Harmless Chaos,7,"Honestly, I just wanted something interesting to happen. My familiar left the room immediately. Probably wise. Moved on its own in the night. I pretended not to notice. Not reliable, but definitely entertaining.",Witchmarket Alley,epic,1151.57
209,2025-11-16,2025-10-17,questionable brew kit,Questionable Brew Kit of Minor Catastrophes,2,"I was three cups into my night brew when I clicked purchase. My kitchen is still glowing but it's a nice color at least. Slightly sticky for no known reason. Not reliable, but definitely entertaining.",North Briar Covenlands,common,12.22
210,2025-11-12,2025-09-17,luck-twisting charm,Luck-Twisting Charm of Reckless Spark,2,"I have made worse decisions, but not many. It triggered three minor hexes and one major mood swing. Keeps humming a tune I don’t recognize. Would recommend to friends I don't like very much.",Oddroot Enclave,rare,258.61
211,2025-11-12,2025-10-25,chaos-infused broom,Chaos-Infused Broom of Sudden Inspiration,8,Do I regret it? Maybe. Am I using it anyway? Absolutely. My kitchen is still glowing but it's a nice color at least. May or may not be attracting local spirits of poor judgment. Would I buy it again? Depends on how this week goes.,Pepperthorn Woods,legendary,1899.08
212,2025-11-17,2025-08-24,moodshift candle,Moodshift Candle of Unregulated Magic,7,"Honestly, I just wanted something interesting to happen. The magic came out sideways and I kind of love that. Summoned a raccoon. Twice. Not reliable, but definitely entertaining.",Fogswamp Crossing,uncommon,141.68
213,2025-11-15,2025-11-01,moodshift candle,Moodshift Candle of Sudden Inspiration,4,"I have made worse decisions, but not many. My familiar left the room immediately. Probably wise. May or may not be attracting local spirits of poor judgment. Would recommend to friends I don't like very much.",Crooked Hollow,legendary,1509.16
214,2025-11-18,2025-09-27,luck-twisting charm,Luck-Twisting Charm of Reckless Spark,9,"My coven told me not to, which made me want it more. My kitchen is still glowing but it's a nice color at least. Summoned a raccoon. Twice. Ten out of ten for chaos, five out of ten for safety.",Tattered Moonglade,rare,168.95
215,2025-11-16,2025-11-08,luck-twisting charm,Luck-Twisting Charm of Questionable Choices,4,"Honestly, I just wanted something interesting to happen. The magic came out sideways and I kind of love that. Moved on its own in the night. I pretended not to notice. Perfect for witches who enjoy surprises and mild panic.",North Briar Covenlands,common,19.74
216,2025-11-17,2025-09-08,potion of unpredictable vibes,Potion Of Unpredictable Vibes of Minor Catastrophes,8,"I have made worse decisions, but not many. My kitchen is still glowing but it's a nice color at least. Set my curtains on fire but only a little. Not reliable, but definitely entertaining.",Ragwort Peninsula,epic,804.66
217,2025-11-15,2025-09-12,imp lure sachet,Imp Lure Sachet of Unregulated Magic,9,"I have made worse decisions, but not many. The magic came out sideways and I kind of love that. Summoned a raccoon. Twice. Would I buy it again? Depends on how this week goes.",Witchmarket Alley,epic,633.13
218,2025-11-12,2025-10-04,imp lure sachet,Imp Lure Sachet of Unregulated Magic,2,"Look, I know I shouldn’t have bought this, but here we are. The magic came out sideways and I kind of love that. Set my curtains on fire but only a little. Good for spicing up a slow day or ruining a fast one.",Tattered Moonglade,legendary,1752.85
219,2025-11-18,2025-10-07,imp lure sachet,Imp Lure Sachet of Mild Mayhem,10,"Do I regret it? Maybe. Am I using it anyway? Absolutely. It triggered three minor hexes and one major mood swing. Keeps humming a tune I don’t recognize. Ten out of ten for chaos, five out of ten for safety.",Cauldron Row,epic,990.26
220,2025-11-17,2025-10-16,luck-twisting charm,Luck-Twisting Charm of Questionable Choices,7,"My coven told me not to, which made me want it more. My kitchen is still glowing but it's a nice color at least. Keeps humming a tune I don’t recognize. Would I buy it again? Depends on how this week goes.",Bramblewild Outskirts,rare,254.64
